#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
11,Thu Jan 13 17:41:14 EST 2022,33,0,A0NoCheckstyleWarnings,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,1,5,false, , ,A0NoCheckstyleWarnings ,A0NoCheckstyleWarnings-(0.0/2.0) , ,
12,Thu Jan 13 20:08:11 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,2,0,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(0.0/6.0) , ,
13,Thu Jan 13 20:08:24 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,2,1,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
14,Thu Jan 13 20:12:31 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,3,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
15,Thu Jan 13 20:12:34 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,3,1,false, , , ,GreetingRun-(0.0/6.0) , ,
16,Thu Jan 13 20:12:36 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,3,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
17,Thu Jan 13 20:12:38 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,3,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(0.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
18,Thu Jan 13 20:12:46 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,3,4,false, , , ,GreetingRun-(0.0/6.0) , ,
19,Thu Jan 13 20:18:08 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,4,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
20,Thu Jan 13 20:18:11 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,4,1,false, , , ,GreetingRun-(0.0/6.0) , ,
21,Thu Jan 13 20:18:14 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,4,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
22,Thu Jan 13 20:26:57 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,5,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
23,Thu Jan 13 20:27:00 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,5,1,false, , , ,GreetingRun-(0.0/6.0) , ,
24,Thu Jan 13 20:27:03 EST 2022,50,17,GreetingCheckstyle,GreetingCheckstyle+ GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingRun , ,5,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
25,Thu Jan 13 20:27:18 EST 2022,50,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided ,A0MnemonicNames+ ,A0NoCheckstyleWarnings GreetingRun , ,5,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.3/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
26,Thu Jan 13 20:58:21 EST 2022,50,0,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingRun , ,6,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
27,Thu Jan 13 20:58:24 EST 2022,50,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingRun , ,6,1,false, , , ,GreetingRun-(0.0/6.0) , ,
28,Thu Jan 13 20:58:29 EST 2022,50,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingRun , ,6,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
29,Thu Jan 13 20:58:33 EST 2022,50,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingRun , ,6,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
30,Thu Jan 13 21:02:59 EST 2022,33,-17,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingMainProvided- GreetingRun , ,7,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(0.0/2.0) , ,
31,Thu Jan 13 21:04:02 EST 2022,50,17,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided+ ,A0MnemonicNames ,A0NoCheckstyleWarnings GreetingRun , ,8,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
32,Thu Jan 13 21:04:05 EST 2022,66,16,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun+ ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,1,false, , , ,GreetingRun-(6.0/6.0) , ,
33,Thu Jan 13 21:04:08 EST 2022,66,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
34,Thu Jan 13 21:04:14 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
35,Thu Jan 13 21:04:26 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,4,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
36,Thu Jan 13 21:04:28 EST 2022,66,0,A0MnemonicNames,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,5,false, , , ,A0MnemonicNames-(1.6/2.0) , ,
37,Thu Jan 13 21:04:32 EST 2022,66,0,A0NoCheckstyleWarnings,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,8,6,false, , ,A0NoCheckstyleWarnings ,A0NoCheckstyleWarnings-(0.0/2.0) , ,
38,Thu Jan 13 21:07:13 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
39,Thu Jan 13 21:07:15 EST 2022,66,0,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,1,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
40,Thu Jan 13 21:07:20 EST 2022,66,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,2,false, , , ,GreetingRun-(6.0/6.0) , ,
41,Thu Jan 13 21:07:24 EST 2022,66,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,3,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
42,Thu Jan 13 21:07:26 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,4,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
43,Thu Jan 13 21:07:32 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,5,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
44,Thu Jan 13 21:07:33 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,9,6,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
45,Thu Jan 13 21:12:41 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,10,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
46,Thu Jan 13 21:12:46 EST 2022,66,0,A0MnemonicNames,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,10,1,false, , , ,A0MnemonicNames-(1.6/2.0) , ,
47,Thu Jan 13 21:13:03 EST 2022,66,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,10,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
48,Thu Jan 13 21:13:05 EST 2022,66,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,10,3,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
49,Thu Jan 13 21:13:05 EST 2022,66,0,GreetingClassRegistryProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,10,4,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
50,Thu Jan 13 21:15:58 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,11,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
51,Thu Jan 13 21:24:20 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,12,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
52,Thu Jan 13 21:25:46 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,13,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
53,Thu Jan 13 21:25:52 EST 2022,66,0,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,13,1,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
54,Thu Jan 13 21:25:55 EST 2022,66,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,13,2,false, , , ,GreetingRun-(6.0/6.0) , ,
55,Thu Jan 13 21:25:57 EST 2022,66,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,13,3,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
56,Thu Jan 13 21:29:23 EST 2022,66,0,GreetingMainProvided,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,14,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
57,Thu Jan 13 21:29:26 EST 2022,66,0,GreetingRun,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,14,1,false, , , ,GreetingRun-(6.0/6.0) , ,
58,Thu Jan 13 21:29:29 EST 2022,66,0,GreetingCheckstyle,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,14,2,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
59,Thu Jan 13 21:29:34 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,14,3,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
60,Thu Jan 13 21:29:40 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,14,4,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
61,Thu Jan 13 21:30:30 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,15,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
62,Thu Jan 13 21:33:39 EST 2022,66,0,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames ,A0NoCheckstyleWarnings , ,16,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.6/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
63,Thu Jan 13 21:35:43 EST 2022,83,17,A0Style,A0MnemonicNames+ GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,17,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
64,Thu Jan 13 21:35:48 EST 2022,83,0,GreetingCheckstyle,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,17,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
65,Thu Jan 13 21:35:50 EST 2022,83,0,GreetingRun,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,17,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
66,Thu Jan 13 21:35:50 EST 2022,83,0,GreetingClassRegistryProvided,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,17,3,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
67,Thu Jan 13 21:39:23 EST 2022,83,0,A0Style,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,18,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
68,Thu Jan 13 21:39:25 EST 2022,83,0,GreetingCheckstyle,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,18,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
69,Thu Jan 13 21:39:53 EST 2022,83,0,A0Style,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,19,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
70,Thu Jan 13 21:40:29 EST 2022,83,0,GreetingCheckstyle,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,19,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
71,Thu Jan 13 21:40:30 EST 2022,83,0,GreetingRun,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,19,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
72,Thu Jan 13 21:42:00 EST 2022,83,0,A0Style,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,20,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
73,Thu Jan 13 21:42:11 EST 2022,83,0,GreetingCheckstyle,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,20,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
74,Thu Jan 13 21:42:12 EST 2022,83,0,GreetingRun,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,20,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
75,Thu Jan 13 21:44:12 EST 2022,83,0,A0Style,A0MnemonicNames GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,21,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
76,Thu Jan 13 21:44:45 EST 2022,100,17,A0Style,A0MnemonicNames A0NoCheckstyleWarnings+ GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,22,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(2.0/2.0) A0NoCheckstyleWarnings-(2.0/2.0) , ,
77,Thu Jan 13 21:44:49 EST 2022,100,0,GreetingCheckstyle,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,22,1,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
78,Thu Jan 13 21:45:14 EST 2022,100,0,GreetingRun,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,22,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
79,Thu Jan 13 21:48:42 EST 2022,66,-34,A0Style,GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A0MnemonicNames- ,A0NoCheckstyleWarnings- , ,23,0,true,A0MnemonicNames A0NoCheckstyleWarnings , ,A0NoCheckstyleWarnings ,A0MnemonicNames-(1.8/2.0) A0NoCheckstyleWarnings-(0.0/2.0) , ,
80,Thu Jan 13 21:49:16 EST 2022,83,17,A0MnemonicNames,A0MnemonicNames+ GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A0NoCheckstyleWarnings , ,24,0,false, , , ,A0MnemonicNames-(2.0/2.0) , ,
81,Thu Jan 13 21:49:21 EST 2022,100,17,A0NoCheckstyleWarnings,A0MnemonicNames A0NoCheckstyleWarnings+ GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,24,1,false, , ,A0NoCheckstyleWarnings ,A0NoCheckstyleWarnings-(2.0/2.0) , ,
82,Thu Jan 13 21:49:24 EST 2022,100,0,GreetingRun,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,24,2,false, ,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun-(6.0/6.0) , ,
83,Thu Jan 13 21:49:28 EST 2022,100,0,GreetingCheckstyle,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingClassRegistryProvided GreetingMainProvided GreetingRun , , , ,24,3,false, , , ,GreetingCheckstyle-(0.0/0.0) , ,
